product_category_name_english,total_orders,late_orders,avg_freight,avg_order_val,avg_review,avg_delivery,avg_weight_g,late_rate_pct,freight_ratio_pct
agro_industry_and_commerce,177,7,31.85,398.68,4.11,11.0,3980.1129943502824,4.0,8.0
air_conditioning,245,10,26.69,217.61,4.13,11.4,3915.9061224489797,4.1,12.3
art,191,12,19.82,121.64,4.13,10.9,1543.5968586387435,6.3,16.3
audio,344,41,16.44,148.83,3.85,13.1,1246.4331395348838,11.9,11.0
auto,3789,276,23.83,152.66,4.15,11.8,2553.3209290050145,7.3,15.6
baby,2762,226,24.03,144.75,4.12,12.3,3354.3828323071352,8.2,16.6
bed_bath_table,9165,689,21.98,111.45,4.01,12.6,2211.804037097654,7.5,19.7
books_general_interest,492,32,18.06,91.89,4.54,11.1,753.3414634146342,6.5,19.7
books_technical,255,21,16.61,73.67,4.43,10.2,1019.0627450980393,8.2,22.5
christmas_supplies,125,10,25.57,70.03,4.11,14.9,2169.064,8.0,36.5
cine_photo,63,4,19.98,109.5,4.33,10.0,1239.3968253968253,6.3,18.2
computers,176,10,54.83,1234.63,4.24,13.5,6750.909090909091,5.7,4.4
computers_accessories,6496,416,22.09,136.47,4.08,12.7,915.6237684729064,6.4,16.2
consoles_games,1013,61,18.81,145.9,4.19,13.1,459.61303060217176,6.0,12.9
construction_tools_construction,728,54,28.03,196.22,4.13,10.4,3147.464285714286,7.4,14.3
construction_tools_lights,231,15,31.95,176.72,4.21,9.3,4069.1125541125543,6.5,18.1
construction_tools_safety,154,4,23.92,247.59,4.02,11.2,855.025974025974,2.6,9.7
cool_stuff,3528,208,23.14,173.18,4.23,11.9,2607.045351473923,5.9,13.4
costruction_tools_garden,183,10,27.73,130.49,4.28,11.6,2462.535519125683,5.5,21.2
costruction_tools_tools,97,6,20.93,163.96,4.43,11.8,1190.2164948453608,6.2,12.8
drinks,284,15,19.52,77.6,4.26,9.9,824.7570422535211,5.3,25.2
dvds_blu_ray,56,4,22.4,82.81,4.2,12.5,493.30357142857144,7.1,27.1
electronics,2507,192,18.35,62.25,4.13,12.5,771.6537694455525,7.7,29.5
fashion_bags_accessories,1810,101,16.87,82.44,4.24,10.8,384.1342541436464,5.6,20.5
fashion_male_clothing,106,5,19.46,98.61,3.82,12.4,590.3301886792453,4.7,19.7
fashion_shoes,233,11,20.53,98.42,4.29,15.3,1082.4034334763949,4.7,20.9
fashion_underwear_beach,117,11,15.85,79.54,4.01,13.6,282.6923076923077,9.4,19.9
fixed_telephony,212,10,21.34,261.3,3.97,12.1,551.7169811320755,4.7,8.2
food,435,31,16.06,65.18,4.32,9.4,668.1517241379311,7.1,24.6
food_drink,218,8,20.15,68.23,4.45,10.5,1219.7660550458716,3.7,29.5
furniture_bedroom,89,6,48.35,211.32,4.29,13.3,10005.898876404495,6.7,22.9
furniture_decor,6210,444,27.12,115.18,4.07,12.6,2801.9840579710144,7.1,23.5
furniture_living_room,409,31,43.64,165.89,4.09,13.5,7910.486552567238,7.6,26.3
garden_tools,3414,225,28.3,137.94,4.19,13.2,2983.860281195079,6.6,20.5
health_beauty,8608,649,20.77,143.13,4.24,11.6,1072.5578531598512,7.5,14.5
home_appliances,747,33,19.37,105.53,4.22,10.9,1941.4578313253012,4.4,18.4
home_appliances_2,225,13,45.13,476.97,4.16,12.6,9039.191111111111,5.8,9.5
home_confort,370,35,23.72,158.19,3.91,13.1,3109.662162162162,9.5,15.0
home_construction,465,28,28.64,173.3,4.06,12.7,3235.5720430107526,6.0,16.5
housewares,5686,306,25.16,108.6,4.21,10.6,3348.663032008442,5.4,23.2
industry_commerce_and_business,228,16,32.98,166.22,4.23,10.5,6556.561403508772,7.0,19.8
kitchen_dining_laundry_garden_furniture,239,11,48.67,191.21,4.14,11.4,8760.150627615063,4.6,25.5
luggage_accessories,1008,43,29.63,136.69,4.38,10.4,5811.798611111111,4.3,21.7
market_place,268,11,19.62,103.04,4.12,11.9,1140.5298507462687,4.1,19.0
musical_instruments,606,45,29.42,303.35,4.25,12.3,3203.5016501650166,7.4,9.7
office_furniture,1244,99,53.54,214.62,3.65,20.0,11321.624598070739,8.0,24.9
perfumery,3073,202,17.29,127.15,4.27,11.4,495.88545395379106,6.6,13.6
pet_shop,1682,86,23.23,126.02,4.28,10.9,2987.1599286563614,5.1,18.4
signaling_and_security,138,6,47.09,155.04,4.12,10.4,3773.9710144927535,4.3,30.4
small_appliances,606,29,25.47,300.87,4.27,10.6,3097.3267326732675,4.8,8.5
small_appliances_home_oven_and_coffee,72,4,36.89,647.08,4.43,9.5,4884.611111111111,5.6,5.7
sports_leisure,7490,495,21.78,127.63,4.23,11.8,1745.2838451268358,6.6,17.1
stationery,2247,148,20.41,99.8,4.31,12.3,2849.191811303961,6.6,20.4
tablets_printing_image,77,4,15.92,95.88,4.17,12.6,306.14285714285717,5.2,16.6
telephony,4075,291,17.01,76.1,4.06,12.5,257.20147239263804,7.1,22.3
toys,3777,241,20.07,124.48,4.24,11.3,1889.3529256023298,6.4,16.1
watches_gifts,5468,405,17.96,212.68,4.13,12.3,588.6558156547184,7.4,8.4
