customer_state,total_orders,late_orders,avg_delay_days,avg_delivery,avg_review,total_revenue,sla_breach_rate_pct
AC,80,3,-20.7,20.6,4.09,15930.97,3.8
AL,397,85,-8.7,24.0,3.85,78855.72,21.4
AM,145,4,-19.6,26.0,4.24,22155.84,2.8
AP,66,1,-22.2,24.3,4.23,13179.01,1.5
BA,3255,396,-10.8,18.9,3.93,492984.2,12.2
CE,1279,176,-10.8,20.8,3.94,219757.38,13.8
DF,2080,118,-12.0,12.5,4.13,296498.41,5.7
ES,1994,213,-10.6,15.2,4.08,268413.55,10.7
GO,1956,127,-12.3,15.1,4.11,282801.8,6.5
MA,717,125,-9.6,21.1,3.83,117009.38,17.4
MG,11353,518,-13.3,11.5,4.19,1551994.83,4.6
MS,701,68,-11.1,15.2,4.16,115429.97,9.7
MT,886,53,-14.4,17.6,4.15,152191.62,6.0
PA,945,105,-14.3,23.1,3.91,174310.69,11.1
PB,517,54,-13.3,20.0,4.08,112586.82,10.4
PE,1593,153,-13.3,18.0,4.08,251889.49,9.6
PI,474,64,-12.0,18.3,3.99,84249.77,13.5
PR,4923,199,-13.3,11.5,4.24,666063.51,4.0
RJ,12348,1494,-11.8,14.8,3.97,1759166.15,12.1
RN,474,44,-13.6,18.8,4.15,82105.66,9.3
RO,243,7,-20.1,18.9,4.17,45682.76,2.9
RR,41,5,-17.3,29.0,3.9,7057.47,12.2
RS,5342,323,-14.0,14.8,4.19,728247.05,6.0
SC,3546,291,-11.5,14.5,4.13,507012.13,8.2
SE,333,49,-11.1,20.0,3.92,56111.39,14.7
SP,40481,1818,-11.1,8.3,4.25,5065166.91,4.5
TO,274,27,-12.1,17.2,4.15,48402.51,9.9
