category,total_orders,avg_freight_value,avg_order_value,freight_pct_of_order,avg_delivery_days,avg_review_score,late_rate_pct,avg_weight_g,freight_burden_rank,slowest_delivery_rank
christmas_supplies,125,25.57,70.03,36.5,14.9,4.11,8.0,2169.0,1,3
signaling_and_security,138,47.09,155.04,30.4,10.4,4.12,4.3,3774.0,2,49
electronics,2507,18.35,62.25,29.5,12.5,4.13,7.7,772.0,3,18
food_drink,218,20.15,68.23,29.5,10.5,4.45,3.7,1220.0,3,47
dvds_blu_ray,56,22.4,82.81,27.1,12.5,4.2,7.1,493.0,5,18
furniture_living_room,409,43.64,165.89,26.3,13.5,4.09,7.6,7910.0,6,5
kitchen_dining_laundry_garden_furniture,239,48.67,191.21,25.5,11.4,4.14,4.6,8760.0,7,34
drinks,284,19.52,77.6,25.2,9.9,4.26,5.3,825.0,8,54
office_furniture,1244,53.54,214.62,24.9,20.0,3.65,8.0,11322.0,9,1
food,435,16.06,65.18,24.6,9.4,4.32,7.1,668.0,10,56
furniture_decor,6210,27.12,115.18,23.5,12.6,4.07,7.1,2802.0,11,14
housewares,5686,25.16,108.6,23.2,10.6,4.21,5.4,3349.0,12,45
furniture_bedroom,89,48.35,211.32,22.9,13.3,4.29,6.7,10006.0,13,7
books_technical,255,16.61,73.67,22.5,10.2,4.43,8.2,1019.0,14,52
telephony,4075,17.01,76.1,22.3,12.5,4.06,7.1,257.0,15,18
luggage_accessories,1008,29.63,136.69,21.7,10.4,4.38,4.3,5812.0,16,49
costruction_tools_garden,183,27.73,130.49,21.2,11.6,4.28,5.5,2463.0,17,32
fashion_shoes,233,20.53,98.42,20.9,15.3,4.29,4.7,1082.0,18,2
garden_tools,3414,28.3,137.94,20.5,13.2,4.19,6.6,2984.0,19,8
fashion_bags_accessories,1810,16.87,82.44,20.5,10.8,4.24,5.6,384.0,19,44
stationery,2247,20.41,99.8,20.4,12.3,4.31,6.6,2849.0,21,22
fashion_underwear_beach,117,15.85,79.54,19.9,13.6,4.01,9.4,283.0,22,4
industry_commerce_and_business,228,32.98,166.22,19.8,10.5,4.23,7.0,6557.0,23,47
bed_bath_table,9165,21.98,111.45,19.7,12.6,4.01,7.5,2212.0,24,14
fashion_male_clothing,106,19.46,98.61,19.7,12.4,3.82,4.7,590.0,24,21
books_general_interest,492,18.06,91.89,19.7,11.1,4.54,6.5,753.0,24,39
market_place,268,19.62,103.04,19.0,11.9,4.12,4.1,1141.0,27,27
home_appliances,747,19.37,105.53,18.4,10.9,4.22,4.4,1941.0,28,41
pet_shop,1682,23.23,126.02,18.4,10.9,4.28,5.1,2987.0,28,41
cine_photo,63,19.98,109.5,18.2,10.0,4.33,6.3,1239.0,30,53
construction_tools_lights,231,31.95,176.72,18.1,9.3,4.21,6.5,4069.0,31,57
sports_leisure,7490,21.78,127.63,17.1,11.8,4.23,6.6,1745.0,32,29
tablets_printing_image,77,15.92,95.88,16.6,12.6,4.17,5.2,306.0,33,14
baby,2762,24.03,144.75,16.6,12.3,4.12,8.2,3354.0,33,22
home_construction,465,28.64,173.3,16.5,12.7,4.06,6.0,3236.0,35,12
art,191,19.82,121.64,16.3,10.9,4.13,6.3,1544.0,36,41
computers_accessories,6496,22.09,136.47,16.2,12.7,4.08,6.4,916.0,37,12
toys,3777,20.07,124.48,16.1,11.3,4.24,6.4,1889.0,38,37
auto,3789,23.83,152.66,15.6,11.8,4.15,7.3,2553.0,39,29
home_confort,370,23.72,158.19,15.0,13.1,3.91,9.5,3110.0,40,9
health_beauty,8608,20.77,143.13,14.5,11.6,4.24,7.5,1073.0,41,32
construction_tools_construction,728,28.03,196.22,14.3,10.4,4.13,7.4,3147.0,42,49
perfumery,3073,17.29,127.15,13.6,11.4,4.27,6.6,496.0,43,34
cool_stuff,3528,23.14,173.18,13.4,11.9,4.23,5.9,2607.0,44,27
consoles_games,1013,18.81,145.9,12.9,13.1,4.19,6.0,460.0,45,9
costruction_tools_tools,97,20.93,163.96,12.8,11.8,4.43,6.2,1190.0,46,29
air_conditioning,245,26.69,217.61,12.3,11.4,4.13,4.1,3916.0,47,34
audio,344,16.44,148.83,11.0,13.1,3.85,11.9,1246.0,48,9
musical_instruments,606,29.42,303.35,9.7,12.3,4.25,7.4,3204.0,49,22
construction_tools_safety,154,23.92,247.59,9.7,11.2,4.02,2.6,855.0,49,38
home_appliances_2,225,45.13,476.97,9.5,12.6,4.16,5.8,9039.0,51,14
small_appliances,606,25.47,300.87,8.5,10.6,4.27,4.8,3097.0,52,45
watches_gifts,5468,17.96,212.68,8.4,12.3,4.13,7.4,589.0,53,22
fixed_telephony,212,21.34,261.3,8.2,12.1,3.97,4.7,552.0,54,26
agro_industry_and_commerce,177,31.85,398.68,8.0,11.0,4.11,4.0,3980.0,55,40
small_appliances_home_oven_and_coffee,72,36.89,647.08,5.7,9.5,4.43,5.6,4885.0,56,55
computers,176,54.83,1234.63,4.4,13.5,4.24,5.7,6751.0,57,5
